k,silhouette
2,0.42744138985466107
3,0.3578174212731814
4,0.2957500893583495
5,0.2534151783854226
6,0.26136454518601715
7,0.25134114382515094
8,0.2146454001590949
9,0.21470226318951519
10,0.20252699904061966
11,0.20643210404531306
12,0.204840514384513
