epoch,train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1,1.0015475196368657,0.9986292455448885,0.0029182776895058066,0.9947301464463761,0.9824819433433142,0.012248209958694252
2,0.9675613974217548,0.9047638038112081,0.06279759643296369,0.9505444517185369,0.8559189748217378,0.09462547402720016
3,0.9373404210955574,0.8259508964405987,0.11138952784868433,0.9375596483775052,0.8235805213371845,0.11397911833932962
4,0.9327162831092537,0.8134671210852205,0.1192491613757794,0.9370883759083598,0.8155215849000592,0.12156678735215615
5,0.9321972532236473,0.8108996218274436,0.12129763463674985,0.9354297145772701,0.814075248200642,0.12135446623833625
6,0.931304722521818,0.80903313934521,0.12227158576745396,0.9348331063664048,0.8116614518199718,0.12317164630930676
7,0.9299896639237687,0.8074366315105623,0.1225530310252273,0.9331151163217932,0.8130622106603261,0.12005290922541707
8,0.9300111704481236,0.8072612857566966,0.12274988256299957,0.9344506846026108,0.8068955005871126,0.12755518623684328
9,0.9292167000974192,0.8054285403826884,0.12378816175096376,0.9341104006761488,0.8108201311482947,0.12329026670435252
10,0.9294129950899269,0.804423124560537,0.12498986678177416,0.9328285148605681,0.8073763789402315,0.12545213226419216
11,0.9287164573456554,0.8036811054136139,0.12503535193131848,0.9326591401514925,0.811353334597588,0.12130581291229071
12,0.9286648957919947,0.8030031297951087,0.12566176451526626,0.9334584587438584,0.8040993040689461,0.12935915014002777
13,0.9279927577495749,0.802156089835414,0.1258366658772049,0.9320310755029373,0.8111114219642735,0.1209196565004571
14,0.9283632419908509,0.8019934655306019,0.12636977636733132,0.9314501283152307,0.80710970256046,0.12434042001557295
15,0.9281114789115765,0.8010631548711922,0.12704832098639648,0.9335859882763603,0.805812517905082,0.12777346130150927
16,0.9281618012671012,0.7996127935805455,0.1285490059276294,0.9325778677989076,0.8051922481586151,0.12738561140316632
17,0.9281910413635973,0.799368462956792,0.12882257535209446,0.9312763393583278,0.8031609011350088,0.12811543665022782
18,0.9279862189978401,0.7986371479884204,0.1293490663823407,0.9315296690368282,0.8032346171544881,0.12829505345543135
19,0.9276092742103462,0.7982210469957435,0.12938822471595107,0.9318492857631543,0.8107265191388827,0.12112277268615002
20,0.9270520050780484,0.7991045801309536,0.12794742198602443,0.9323819331690103,0.804547672022695,0.12783426855079877
21,0.9266887642407929,0.7980393411247502,0.1286494212181016,0.9311930753298788,0.8050748093837126,0.12611826136518448
22,0.927465759122833,0.7985934305260457,0.12887232572718846,0.9312044809125775,0.8061626852563786,0.12504179116741165
23,0.9269099377029717,0.7973348453382432,0.1295750881064275,0.9314031581804617,0.807202793654345,0.1242003660070134
24,0.9263490211294069,0.7970511033294069,0.12929791317219788,0.9298828119967265,0.8001674219790584,0.12971539131417575
25,0.927033233088688,0.7965261906468578,0.13050704160918747,0.9314451997942186,0.8046524375514412,0.12679276358538225
26,0.9264553990075416,0.7964838660878347,0.1299715321792585,0.9321895482513232,0.8030871869247109,0.12910235096033548
27,0.9263115386874384,0.7963327300876838,0.1299788027690855,0.9315433140809308,0.7986595654753709,0.1328837455515721
28,0.9269481834531712,0.7960544192934158,0.1308937605497083,0.931165100982087,0.8020895902311919,0.12907551213959734
29,0.9263932633440457,0.7957371625798457,0.13065610261532082,0.9315804502085605,0.8041580847465745,0.12742236398108936
30,0.9266456475163004,0.7954647819104739,0.13118086662358136,0.9323392392925798,0.8012958821648174,0.13104335129637026
31,0.9262867040314837,0.7959101286354421,0.13037657298958447,0.930090855283817,0.7982797139017498,0.13181113990117058
32,0.9266221838539468,0.7949303924885535,0.13169178248001334,0.9306493427081549,0.8024573368223838,0.12819201032846106
33,0.9264876263170266,0.7959578386545326,0.13052978136868323,0.9305633531891719,0.8007279574372128,0.12983540028684365
34,0.9260585574665275,0.7949887683000233,0.13106978352094728,0.9309214164530147,0.8014434890464774,0.12947792287165283
35,0.9262269714308728,0.7945584924825835,0.13166847718936298,0.9311773876751653,0.8016122498747129,0.1295651407622458
36,0.9265664853416831,0.7946715652400337,0.1318949141780627,0.9308537890129293,0.8041836174804435,0.12667016852459514
