,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
mean_num_c009,-0.020712792493095204,-0.005077325448993478,0.6423349688346263,0.001774519224472245,0.04512385897984743,0.0046257638192297446,0.042383205635397686,0.02520954087437877,0.004445729824151001,0.003066119788648969
mean_num_c011,0.006442145634042058,0.026468648992549564,0.6377182739641436,0.002494292557570556,0.042612721557689345,-0.0046986271039622576,-0.03460824235422171,0.025169405849583548,0.008766176696949405,0.004712484944902706
mean_num_c018,-0.001994449982063387,-0.004092510332964214,0.0012449032373691576,0.6676998037856721,-0.0018634775365238454,-0.0014550662379937142,0.003861016957977982,-0.0007539499511190392,0.0019065312431409461,-0.00015805480451383793
mean_num_c048,0.009803783664057273,-0.18902727780886422,0.02352833554614977,-0.010417048946251745,0.016487083430983016,0.018088219643837916,0.8416222160670758,0.017803060273664628,0.010799327448271476,-0.004419420471118317
mean_num_c014,-0.016081646936420245,0.01225482657684759,0.008412873076002535,0.53719493767411,0.010065013682007162,0.022925915914498884,0.004074351861233259,-0.038677352820809315,-0.0027343628691966107,0.008078121312049885
mean_num_c013,0.012698824197065216,-0.0080104471704973,-0.005689966729679131,0.5069979328793109,-0.01159707432106161,-0.01998261702301794,-0.008003694932851767,0.037094705863982905,0.0005982525447359622,-0.007628841760709842
mean_num_c031,0.005385941502023515,-0.007875800136869893,0.24333351158627115,-0.0024730551342331307,-0.1254945211785947,0.10080544643248406,-0.0499860376065941,-0.13604066174290916,0.05999516072910019,0.6542735608464121
mean_num_c032,0.08649955522730138,-0.10169529081666429,0.19740448568899147,-0.0055901025168962,-0.3001112322694653,-0.3462236517233556,0.052638193359523834,-0.30991472973638257,-0.12248504891678486,-0.1102618225456099
mean_num_c017,0.5609659614238011,0.013247222096969952,0.002755624941876326,-0.002338586956894154,0.007598320909050714,-0.0074171663666020215,0.015859079694401042,0.0019569228301445168,0.0022765831660283894,0.004004975760333151
mean_num_c012,0.5854499114021219,-0.014189443340974411,-0.0061841415119542305,-0.0014372962773737806,0.00550302833893931,0.013010321757598623,-0.0437353626700287,0.0027748932675723498,-0.007192853570580804,0.0016052234183081915
mean_num_c016,0.5701203923054597,0.02118080292001093,-0.007270924901010427,-0.0006019014306964069,0.002622155365037014,0.011518394377819772,0.018841067606254227,-0.00046728196541003674,0.007421264885500818,0.003175423090370174
mean_num_c023,0.006627553433426679,0.009897222625592112,0.1194775085912805,0.007391413198776999,-0.04436881693157201,0.6488056492760649,-0.004542186293183688,-0.018779843020942977,-0.1616443738316798,0.07002134537316314
mean_num_c020,0.013683834166132404,-0.01332767690926758,0.0509232693206694,-0.0024518712234210295,0.6584870493791085,-0.02740126311305941,0.0010041822652037944,-0.029339246886838668,-0.010400582898880257,-0.01471217634407041
mean_num_c019,0.014089378597582223,-0.013521621049714428,0.048130527347098453,-0.0027609017412093175,0.658944215850061,-0.025678045869628477,0.0005516473708364607,-0.028449649956825484,-0.01214918200844836,-0.015183177379678144
mean_num_c015,0.02062084628439024,-0.2983158060319008,0.013994300094419354,-0.007823695789343818,0.021687710041186532,0.0004779860542513546,-0.5238070410134571,0.025289533147858104,0.008983398813472624,-0.011364849624555301
mean_num_c022,-0.0327410506240851,0.05176311387537524,0.07914904600692287,0.007407006501578187,0.03384761519149929,-0.6545414224797402,-0.029450029601988587,0.03161374601827939,-0.1089052505497506,0.10319342007533285
mean_num_c008,0.03796804809183048,0.5310705458645426,-0.009375894407898327,0.03422402165395676,0.009138527176583911,-0.016873945960196996,0.02613256490490028,0.007877802556372781,0.010196826089108716,-0.0155443343262103
mean_num_c007,0.03802772832079409,0.5310274342275075,-0.009348075454646254,0.034181031987589885,0.00912804693150336,-0.01688290843183196,0.0260825234840815,0.00787893118378955,0.01134221481676482,-0.015519883150175154
mean_num_year,-0.05880885235949682,0.5432667107878248,0.04016296182195531,-0.07652496050139486,-0.03173141379014883,0.019379573758393366,-0.03244118009309973,-0.015943192654873574,-0.022767763856430326,0.018795698060691587
mean_num_c021,-0.010773047585634778,0.015692444204656864,0.2111706808598531,-0.0021611062815210342,-0.08976721964019953,0.11613380266004862,-0.055727183952431966,-0.11343989523518906,0.050693213091367255,-0.7358674236698541
mean_num_c028,0.024616442204297716,-0.023219275804512475,0.09602726269443107,-0.0016840499854422495,-0.09369480675197493,-0.05090237993900542,0.0019224838216038089,0.9295413869227459,-0.02301645156292092,-0.03240425777531287
mean_num_c039,0.005620314506004676,-0.0012179575617656511,0.023169183185376606,-0.0009877050174947543,-0.01784683489392348,-0.0224878518943124,0.002414883446246336,-0.0044260679443444894,0.9689607879212321,0.007101969360773826
