family,n_features,avg_null_ratio,max_null_ratio
max,28,0.07334101662016257,0.7545456751182822
mean,28,0.07334101662016257,0.7545456751182822
min,28,0.07334101662016257,0.7545456751182822
std,28,0.07818841961144521,0.7562101176756035
