family,avg_extreme_rate,max_extreme_rate,n_features
std,0.003796518864021427,0.02002467687453225,28
min,0.00939879312206877,0.02001929570670526,28
max,0.009760935979211629,0.02001929570670526,28
mean,0.010791650264925914,0.02001929570670526,28
