base,corr_mean_std,corr_mean_min,corr_mean_max
c007,,1.0,1.0
c008,-0.0013564035426517752,0.9999833995417151,0.9999767883518731
c009,-0.0039821784587028815,0.9999999962517392,0.9999999999987575
c011,0.19721978488039135,0.7356106257196166,0.9867499414582483
c012,,1.0,1.0
c013,,1.0,1.0
c014,0.004529629749518879,0.9999999997084152,0.9999991809488107
c015,0.9953853968332088,0.019655262581070525,0.9988656023417879
c016,-0.17837465548368645,0.9930788707567344,0.9900149222486636
c017,-0.2701843391270213,0.9681429644293146,0.9677661112943893
c018,0.0012646315187696006,0.9986489479165139,0.9988869301738404
c019,0.006195964917506809,0.999998199831372,0.999999883563889
c020,0.006606968798752048,0.9999964957568948,0.9999998820581635
c021,,1.0,1.0
c022,,1.0,1.0
c023,0.00028232209998067164,0.9999240636638554,0.9999998139947867
c024,0.0012106687698117144,0.999823382815258,0.9999996009097701
c028,,0.9999999999999999,0.9999999999999999
c031,-0.02313737968443655,0.9996159951464406,0.9991830658480262
c032,-0.010850601896041059,0.9999999279660948,0.9999999987405339
c033,-0.0223742837713748,0.9993524719874123,0.999507653717718
c039,0.9355100886352176,0.013795050657265821,0.8887200870959426
c048,0.9330299433291671,0.6250309998838851,0.6402714188270259
c072,0.15246027812649296,0.9866084229221923,0.9953261433658317
c101,,,
c105,,,
c108,,,
