cluster,mean_num_c009,mean_num_c011,mean_num_c018,mean_num_c048,mean_num_c014,mean_num_c013,mean_num_c031,mean_num_c032,mean_num_c017,mean_num_c012,mean_num_c016,mean_num_c023,mean_num_c020,mean_num_c019,mean_num_c015,mean_num_c022,mean_num_c008,mean_num_c007,mean_num_year,mean_num_c021,mean_num_c028,mean_num_c039
0,298899.7571452913,279627.34855233144,65351.189227681505,7887.038004774727,65533.92592607223,66338.91932195587,28459.093101248018,583.3790193728295,334.31644410961815,358.36603296739435,338.5896464729158,758.1006239312273,72.91742440274385,72.64471809617372,19.98448503864801,34.46378980080074,3.260481690670977,3.260769696568575,2020.6752408667917,1.4562493834467791,1.0235605537469994,0.03974296752226777
1,227516.96385026525,197426.7785317538,67061.56082604369,5657.2041628663665,67975.68195603306,66461.57188973269,27087.881805706285,540.6434255701577,165.0837544872361,190.85020553194454,170.83568521327814,768.9974783418697,57.8066474138428,57.57426858479429,20.10515964062141,31.357348569305092,2.8539504633177732,2.8539504633177732,2020.7668547806497,1.5180798439350658,1.0130518590770803,0.01317086083602971
2,331439.81436720485,320745.6605778853,70777.46609298307,4809.307404031559,72159.12643817074,69381.02662538564,26787.64296645689,529.2041893125325,342.4887067978046,356.37109639369623,348.1507558551534,757.3034447775389,76.99407812046795,76.6600841148603,8.295985207386638,37.77056392158759,6.4341079332108295,6.434118824325631,2023.2179251667794,1.4714057816880983,1.0265155177414678,0.024946564184448634
