k,silhouette
2,0.14871975534740542
3,0.15967769686913857
4,0.16627327305054007
5,0.16865159489545214
6,0.13786018120168209
7,0.15048421412733287
8,0.13621727032675768
9,0.13266543398602626
10,0.13151487411603352
11,0.12832237964368406
12,0.12898849505888055
