cluster,n_loans,F1,F2,F3,F4,F5
0,121644,0.8155383373045673,-0.7189724838704697,0.0896774124145587,-0.0661812564289274,0.168019383129057
1,43059,-3.193185258240553,-0.991301321569692,-0.6502182924795248,-0.0036423708671433,-0.954678431412912
2,41372,0.9255056205042828,3.145681437528009,0.4130578724770201,0.1983802959539972,0.499587854995107
