cluster,n_loans,F1,F2,F3,F4,F5,mean_num_c009,mean_num_c011,mean_num_c018,mean_num_c048,mean_num_c014,mean_num_c013,mean_num_c031,mean_num_c032,mean_num_c017,mean_num_c012,mean_num_c016,mean_num_c023,mean_num_c020,mean_num_c019,mean_num_c015,mean_num_c022,mean_num_c008,mean_num_c007,mean_num_year,mean_num_c021,mean_num_c028,mean_num_c039
0,121644,0.8155383373045673,-0.7189724838704697,0.0896774124145587,-0.0661812564289274,0.168019383129057,298899.7571452913,279627.34855233144,65351.18922768151,7887.038004774727,65533.92592607223,66338.91932195587,28459.093101248018,583.3790193728295,334.31644410961815,358.36603296739435,338.5896464729158,758.1006239312273,72.91742440274385,72.64471809617372,19.98448503864801,34.46378980080074,3.260481690670977,3.260769696568575,2020.675240866792,1.4562493834467791,1.0235605537469994,0.0397429675222677
1,43059,-3.193185258240553,-0.991301321569692,-0.6502182924795248,-0.0036423708671433,-0.954678431412912,227516.96385026525,197426.7785317538,67061.56082604369,5657.204162866367,67975.68195603306,66461.57188973269,27087.881805706285,540.6434255701577,165.0837544872361,190.8502055319445,170.83568521327814,768.9974783418697,57.8066474138428,57.57426858479429,20.10515964062141,31.35734856930509,2.853950463317773,2.853950463317773,2020.7668547806495,1.5180798439350658,1.0130518590770805,0.0131708608360297
2,41372,0.9255056205042828,3.145681437528009,0.4130578724770201,0.1983802959539972,0.499587854995107,331439.81436720485,320745.6605778853,70777.46609298307,4809.307404031559,72159.12643817074,69381.02662538564,26787.64296645689,529.2041893125325,342.4887067978046,356.37109639369623,348.1507558551534,757.3034447775389,76.99407812046795,76.6600841148603,8.295985207386638,37.77056392158759,6.4341079332108295,6.434118824325631,2023.2179251667797,1.4714057816880983,1.0265155177414678,0.0249465641844486
