first_year,cluster,n
2020,0,16959
2020,1,55159
2021,0,19003
2021,1,52821
2022,0,4811
2022,1,25360
2023,0,480
2023,1,14083
2024,0,301
2024,1,14258
2025,0,72
2025,1,2768
