year,cluster,n_loans
2020,0,54433
2020,1,17678
2020,2,7
2021,0,103831
2021,1,36464
2021,2,7
2022,0,107307
2022,1,38125
2022,2,10591
2023,0,100622
2023,1,36629
2023,2,24445
2024,0,96470
2024,1,35543
2024,2,37756
2025,0,92128
2025,1,33869
2025,2,38055
