,mean_num_c007,mean_num_c008,mean_num_c009,mean_num_c011,mean_num_c012,mean_num_c013,mean_num_c014,mean_num_c015,mean_num_c016,mean_num_c017,mean_num_c018,mean_num_c019,mean_num_c020,mean_num_c021,mean_num_c022,mean_num_c023,mean_num_c024,mean_num_c028,mean_num_c031,mean_num_c032,mean_num_c033,mean_num_c039,mean_num_c048,mean_num_c072,mean_num_c101,mean_num_c105,mean_num_c108,mean_num_year
mean_num_c007,1.0,0.9999842351251269,0.09314483667608434,0.1316513420180681,0.32052228951540984,-0.0028378677939468943,0.013427146662905126,-0.5844138060826327,0.38264306156495204,0.36461849277462804,0.006965173739215884,0.19883131826290654,0.19972279432620438,-0.007146290747144575,0.19452921635644127,-0.11729828628878448,-0.0856039849246773,0.04431059341103563,-0.047008114881086305,-0.05882241728751394,0.056793386420107755,0.014196820534893047,0.008849472930405904,-0.008926525390255223,,,,0.7880236697483605
mean_num_c008,0.9999842351251269,1.0,0.09314001967463179,0.1316341128275619,0.3204816836707203,-0.00289051149270193,0.013475571401591798,-0.5845023542520558,0.382529862373536,0.3645606945991986,0.007007718957521102,0.198773599046262,0.19966297692576868,-0.00712920885513221,0.19445870605727042,-0.11725872312586264,-0.08559098990956687,0.0442986463773065,-0.047001108580277735,-0.05882496652397496,0.056792371397276484,0.013032154138004248,0.008865054525520959,-0.008914858029089255,,,,0.7881084599998244
mean_num_c009,0.09314483667608434,0.09314001967463179,1.0,0.9845989210774123,0.20256443685406797,0.0020138895979967325,0.009033399543048718,-0.11766472385112543,0.21201380090356484,0.21390533343992263,0.00591333963140742,0.1927763267830596,0.19786051487847295,0.14311661202576312,0.1278202435438402,0.0684797232443834,0.029462598801596428,0.052090257157835676,0.18718839355479588,0.17472316860127754,0.025460815579316298,0.006529438746035598,0.17849436083057874,0.016625097225101214,,,,0.11295936896868447
mean_num_c011,0.1316513420180681,0.1316341128275619,0.9845989210774123,1.0,0.24962768146381586,0.00393957589576703,0.009347239536580978,-0.11153970607538251,0.2575069588118696,0.27936033959412515,0.008168980456624545,0.21269928447100686,0.2177347544806761,0.13435452061674855,0.14202042858388392,0.048430905156750935,0.013631606740590543,0.055768440894919905,0.18162876034505587,0.16831948080875855,0.031997620526815214,0.015807196232015104,0.08543289402781784,0.01604293465751854,,,,0.15472716261568384
mean_num_c012,0.32052228951540984,0.3204816836707203,0.20256443685406797,0.24962768146381586,1.0,0.013480497177324162,-0.004297630424984403,-0.1253937043276135,0.9920512442901437,0.9648084074596317,-0.0011686299075628704,0.3452632254552454,0.3464095207898655,-0.0479587968503466,0.15611103508996504,-0.10242223597903287,-0.07371639235933404,0.015813759507327284,0.029017333773766772,0.036721331977344805,0.0725506964386182,0.03138867718097734,0.01759458759249749,-0.0038779440654597695,,,,0.15784880074076668
mean_num_c013,-0.0028378677939468943,-0.00289051149270193,0.0020138895979967325,0.00393957589576703,0.013480497177324162,1.0,0.1506017699474083,0.017080321674200514,0.010956618881204352,0.010353163507417667,0.5136820519983503,0.001036369506514583,0.0004723700585802636,0.0017162979661753995,0.011667109497737277,0.00794212110368453,0.005348293981119204,-0.0019469630112406637,-0.004525097256085843,-0.004087406239447934,0.004575351266541834,-0.003148206763947378,-0.024505581026983116,-0.005494343622769979,,,,-0.07566356777285199
mean_num_c014,0.013427146662905126,0.013475571401591798,0.009033399543048718,0.009347239536580978,-0.004297630424984403,0.1506017699474083,1.0,0.021112915870779236,-0.007022658657341179,-0.00742412083127338,0.546020554466354,0.00935349678623428,0.009924839520251996,0.007327765627188176,-0.013116889554586111,0.015317490904535868,0.011599280494827877,-0.013841846640180582,0.007262285668619506,0.0005973312632037391,0.0025660308245689387,-0.0070986560777916334,-0.015594263463164115,-0.002013695727457395,,,,-0.08536017732230329
mean_num_c015,-0.5844138060826327,-0.5845023542520558,-0.11766472385112543,-0.11153970607538251,-0.1253937043276135,0.017080321674200514,0.021112915870779236,1.0,-0.2404221221108278,-0.23629086907891575,0.028397243714930503,-0.07613571354357934,-0.07664407692346002,0.012359680466834189,-0.12149536837536475,0.057286664757923926,0.038715059702667795,-0.004609368987372424,0.013617279429353573,-0.006318883962915093,-0.024075643562092457,0.018421374621796563,-0.3965115851494149,0.002451472555617002,,,,-0.5818320820502105
mean_num_c016,0.38264306156495204,0.382529862373536,0.21201380090356484,0.2575069588118696,0.9920512442901437,0.010956618881204352,-0.007022658657341179,-0.2404221221108278,1.0,0.9712519353869402,-0.004829769057508966,0.3473309216078167,0.34858868545417704,-0.04914636359705919,0.1681302060036535,-0.1095348799172033,-0.0776194845289592,0.015842543614939555,0.026778586998015302,0.03681147872153445,0.07394519705818997,0.0464203574279275,0.06393641211530435,-0.004269133462672328,,,,0.22293059632826648
mean_num_c017,0.36461849277462804,0.3645606945991986,0.21390533343992263,0.27936033959412515,0.9648084074596317,0.010353163507417667,-0.00742412083127338,-0.23629086907891575,0.9712519353869402,1.0,-0.004829800144660162,0.35131843474125457,0.35260951674816987,-0.0493248523447738,0.18006880421455,-0.12448759521346664,-0.08804446548716444,0.017531425497244246,0.028454884224434117,0.03850647953353857,0.07319626257113758,0.03992082414897857,0.060292265523128,-0.002793514320501137,,,,0.2160245274154159
mean_num_c018,0.006965173739215884,0.007007718957521102,0.00591333963140742,0.008168980456624545,-0.0011686299075628704,0.5136820519983503,0.546020554466354,0.028397243714930503,-0.004829769057508966,-0.004829800144660162,1.0,0.0041659397420917834,0.0041882522458645925,0.0010765339121664652,0.0024367650346260182,0.014657963824604601,0.007370998864156275,-0.008817845340435213,-0.003936163977680471,0.0002388634589971108,0.0036082300983620984,-0.00784046738650237,-0.029519500360644275,-0.0048361018991613615,,,,-0.12191698067002854
