,mean_num_c009,mean_num_c011,mean_num_c018,mean_num_c048,mean_num_c014,mean_num_c013,mean_num_c031,mean_num_c032,mean_num_c017,mean_num_c012,mean_num_c016,mean_num_c023,mean_num_c020,mean_num_c019,mean_num_c015,mean_num_c022,mean_num_c008,mean_num_c007,mean_num_year,mean_num_c021,mean_num_c028,mean_num_c039
mean_num_c009,1.0,0.9854844638693412,0.001741324967957236,0.1839581873722407,0.009340871773653945,-0.0003625160896323873,0.18757754107927638,0.173915695981767,0.21994601114284398,0.2071899637450073,0.21670995582943367,0.06745266391185271,0.199612298514157,0.19612223433898016,-0.1187665940286246,0.12488378114196443,0.0945446843350056,0.09458286796227473,0.11671938924808449,0.1403862813041975,0.05946053543116435,0.0022037120110827233
mean_num_c011,0.9854844638693412,1.0,0.002888596722993837,0.09100561298238123,0.008635582688929111,0.00156864714652316,0.18296754917209207,0.1673683244560671,0.28495737642600305,0.2534177018982312,0.2613620550849166,0.04636073740023441,0.21872485487691254,0.21537358911440863,-0.11215034169250243,0.13868579357686636,0.13238402979716998,0.13244452372578983,0.15702512718140005,0.13006131027126658,0.06254580081679002,0.010080329498816166
mean_num_c018,0.001741324967957236,0.002888596722993837,1.0,-0.029019932521168048,0.5558744831824756,0.5121811913330228,-0.004875829475646231,-0.00558166905727614,-0.006908480084774712,-0.0017157010278203446,-0.004924304702434648,0.014120056526330553,0.0007417317578650355,0.0008161482363795343,0.02648575859476296,-0.0026146589251918057,0.0024481234259652843,0.002384194926588475,-0.12155564030701456,0.007181059093826425,-0.008122699745118006,-0.0048642162193538434
mean_num_c048,0.1839581873722407,0.09100561298238123,-0.029019932521168048,1.0,-0.019071465830591074,-0.032000008862623115,0.04004424233947883,0.06368386101143585,0.06515662290651175,0.02413940601537282,0.06879163793670381,0.021040819786131336,0.015496320461442477,0.01423832634415036,-0.38707471471321003,0.01834672796993166,0.015365379419525463,0.015334951812499003,-0.06066924140451895,0.021575033464547345,0.0028983822733696586,-0.01006182014678388
mean_num_c014,0.009340871773653945,0.008635582688929111,0.5558744831824756,-0.019071465830591074,1.0,0.1571491224558131,0.0011550575823822495,0.0005951503201729356,-0.014563588043051827,-0.010739323373849485,-0.013435965672331823,0.014117573814751662,0.0020304854096571128,0.001880982478685865,0.01988488219172977,-0.010612229502065798,0.011483340553423418,0.011412215623776081,-0.08376046828908712,0.003337699602886382,-0.010043908080629391,-0.014668591334134425
mean_num_c013,-0.0003625160896323873,0.00156864714652316,0.5121811913330228,-0.032000008862623115,0.1571491224558131,1.0,-0.004168367349205382,-0.00820493512649507,0.002376727899522774,0.006985608211448063,0.00435622112901999,0.005130641283877115,0.00025027094635986886,0.0006789748400535143,0.017341162556700093,0.0022150043633502444,-0.00476175843029172,-0.004841311924768204,-0.07432291294189357,-0.0011071876047835543,0.0018989696659154468,-0.0018776932151303588
mean_num_c031,0.18757754107927638,0.18296754917209207,-0.004875829475646231,0.04004424233947883,0.0011550575823822495,-0.004168367349205382,1.0,0.1015819369764451,0.025043998811501163,0.022709857837575575,0.0205989359919543,0.03469218027701952,-0.06927894251551599,-0.07055507306220407,0.016928069841864395,0.028020821884125732,-0.05446011154098432,-0.05442412082636318,-0.046368833393504796,0.00676283419017672,0.01345615924032278,0.002423508790615178
mean_num_c032,0.173915695981767,0.1673683244560671,-0.00558166905727614,0.06368386101143585,0.0005951503201729356,-0.00820493512649507,0.1015819369764451,1.0,0.04808198310419702,0.04699714668575169,0.04742003745982685,0.03441022906223296,-0.11130031749955326,-0.11206616666886651,-0.009805822781633429,0.0313890004011457,-0.055586253704376774,-0.055527152896320715,-0.06810236176519177,0.043322403261174196,-0.029917876847922107,-0.001171370729588551
mean_num_c017,0.21994601114284398,0.28495737642600305,-0.006908480084774712,0.06515662290651175,-0.014563588043051827,0.002376727899522774,0.025043998811501163,0.04808198310419702,1.0,0.9629854410159477,0.9692411876249893,-0.1327303211286331,0.35701728276286937,0.3561306716174557,-0.23455011406964918,0.1895185777187586,0.3648784770343913,0.36496903092723154,0.2082926149402385,-0.05004190680178902,0.0290026483044387,0.04394775398065641
mean_num_c012,0.2071899637450073,0.2534177018982312,-0.0017157010278203446,0.02413940601537282,-0.010739323373849485,0.006985608211448063,0.022709857837575575,0.04699714668575169,0.9629854410159477,1.0,0.9922372547017443,-0.10875345946175864,0.35007741536335474,0.3494907220006597,-0.12632397387607833,0.16738856420238551,0.32218305048154194,0.32224695604805553,0.1520836595233998,-0.04548854178202906,0.027656339087738055,0.035376258489009355
